trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00346,PO1000000345,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,TUNGKAL ULU,-1.301097824,102.9803844,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",TANJUNG JABUNG BARAT,ID-1507,JAMBI
M-00347,PO1000002143,ROYAL GOLDEN EAGLE,DASA ANUGERAH SEJATI,TAMAN RAJA,-1.176424083,103.0083435,45,Operating,2006,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",TANJUNG JABUNG BARAT,ID-1507,JAMBI
M-00348,PO1000002063,ROYAL GOLDEN EAGLE,RIGUNAS AGRI UTAMA,PERANAP,-0.584387306,102.0203367,45,Operating,2000,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",INDRAGIRI HULU,ID-1402,RIAU
M-00349,PO1000002491,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,UKUI II,-0.277221076,102.116035,60,Operating,2004,"Mill known to exist in 2004 (source: Golder Associates (2006). Appendix VIII: Summary of Renewable Potential in Indonesia POM, Retrieved October 10, 2018, http://www.adb.org/Documents/Reports/Consulta nt/46557-INO/36557-INO-TACR- AppendixVIII.pdf)",INDRAGIRI HULU,ID-1402,RIAU
M-00350,PO1000000148,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,UKUI I,-0.225539183,102.0941392,60,Operating,2004,"Mill known to exist in 2004 (source: Golder Associates (2006). Appendix VIII: Summary of Renewable Potential in Indonesia POM, Retrieved October 10, 2018, http://www.adb.org/Documents/Reports/Consulta nt/46557-INO/36557-INO-TACR- AppendixVIII.pdf)",PELALAWAN,ID-1404,RIAU
M-00351,PO1000008400,SOUTHERN ACIDS BERHAD,MUSTIKA AGRO SARI,MUSTIKA AGRO SARI,-0.113381954,101.2927716,45,Operating,2002,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KUANTAN SINGINGI,ID-1401,RIAU
M-00352,PO1000004157,ROYAL GOLDEN EAGLE,MITRA UNGGUL PUSAKA,SEGATI,0.141477171,101.6458363,30,Operating,2004,"Mill known to exist in 2004 (source: Golder Associates (2006). Appendix VIII: Summary of Renewable Potential in Indonesia POM, Retrieved October 10, 2018, http://www.adb.org/Documents/Reports/Consulta nt/46557-INO/36557-INO-TACR- AppendixVIII.pdf)",PELALAWAN,ID-1404,RIAU
M-00353,PO1000000021,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,BUATAN I,0.434529548,101.8229715,60,Operating,1991,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SIAK,ID-1405,RIAU
M-00354,PO1000000382,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,BUATAN II,0.460034184,101.8674414,30,Operating,2004,"Mill known to exist in 2004 (source: Golder Associates (2006). Appendix VIII: Summary of Renewable Potential in Indonesia POM, Retrieved October 10, 2018, http://www.adb.org/Documents/Reports/Consulta nt/46557-INO/36557-INO-TACR- AppendixVIII.pdf)",SIAK,ID-1405,RIAU
M-00355,PO1000002142,ROYAL GOLDEN EAGLE,TUNGGAL YUNUS ESTATE,TOPAZ,0.689186565,100.9342207,45,Operating,2001,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KAMPAR,ID-1406,RIAU
M-00356,PO1000002913,ROYAL GOLDEN EAGLE,RIGUNAS AGRI UTAMA,BUNGO TEBO,-1.346735097,102.4563224,60,Operating,2009,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),TEBO,ID-1508,JAMBI
M-00357,PO1000002145,ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,AEK NABARA,1.999470303,99.94008054,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU,ID-1207,SUMATERA UTARA
M-00358,PO1000002146,ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,TELUK PANJIE,2.002694577,100.2438172,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00359,PO1000002147,ROYAL GOLDEN EAGLE,HARI SAWIT JAYA,NEGERI LAMA I,2.359694,100.041889,45,Operating,1997,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LABUHAN BATU,ID-1207,SUMATERA UTARA
M-00360,PO1000003004,ROYAL GOLDEN EAGLE,HARI SAWIT JAYA,NEGERI LAMA II,2.360159821,100.0353149,45,Operating,2002,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LABUHAN BATU,ID-1207,SUMATERA UTARA
M-00361,PO1000002608,ROYAL GOLDEN EAGLE,GUNUNG MELAYU,GUNUNG MELAYU II,2.74958695,99.47003897,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",ASAHAN,ID-1208,SUMATERA UTARA
M-00362,PO1000002609,ROYAL GOLDEN EAGLE,SAUDARA SEJATI LUHUR,GUNUNG MELAYU I,2.791858409,99.59858285,30,Operating,1984,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ASAHAN,ID-1208,SUMATERA UTARA
M-00363,PO1000002144,ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,TANAH DATAR,3.148258876,99.55686705,20,Operating,1991,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BATU BARA,ID-1219,SUMATERA UTARA
M-00364,PO1000004867,IOI CORPORATION,SUKSES KARYA SAWIT,SUKSES KARYA SAWIT,-2.800204,110.593202,45,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT
M-00365,PO1000006246,J.A. WATTIE (JAWA),KINTAP JAYA WATTINDO,KINTAP JAYA WATTINDO,-3.898355514,115.2051653,45,Operating,2008,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",TANAH LAUT,ID-6301,KALIMANTAN SELATAN
M-00366,PO1000008156,J.A. WATTIE (JAWA),AGRI BUMI SENTOSA,AGRI BUMI SENTOSA,-2.962935832,114.7101811,45,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BARITO KUALA,ID-6304,KALIMANTAN SELATAN
M-00367,PO1000007524,UNKNOWN,JABAL PERKASA,JABAL PERKASA,1.061787414,100.1314836,30,Operating,2014,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),ROKAN HULU,ID-1407,RIAU
M-00369,PO1000004563,UNKNOWN,JAYA BARU PERTAMA,JAYA BARU PERTAMA,4.065683301,98.21593455,20,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LANGKAT,ID-1213,SUMATERA UTARA
